id,name,text,trans
0000000000000,番組ディレクター,──まだ10代だから仕方ないかもしれないけど\n本当に『ずっと一緒』なんて、あるわけないんだから,[pre-translate]──因为还是十几岁的缘故，所以也许无法避免会有『一直在一起』这样的想法，但是实际上是不存在的
0000000000000,番組ディレクター,本当、一緒にいることがすべてじゃないのよ,[pre-translate]真的，只是一直在一起并不是全部
0000000000000,番組ディレクター,関係性が変化することなんてよくあること\n……でも、それを受け入れられないなら辛いわね,[pre-translate]关系会发生变化这种事情很常见……但是，如果无法接受这一点的话，就会很痛苦
0000000000000,番組ディレクター,だから……イルミネちゃんたちのこと、\n本当、大事にしてあげてね,[pre-translate]所以……请好好珍惜Illumination Stars的孩子们吧
0000000000000,プロデューサー,……はい,[pre-translate]……好的
0000000000000,番組ディレクター,まったくもう……\nほんとにわかってるんでしょーね？,[pre-translate]真是的……你们真的懂我在说什么吗？
0000000000000,番組ディレクター,私が言ってる『大事に』ってのは、\n守れって意味じゃないよ？,[pre-translate]我所说的『珍惜』并不是要你们去保护他们哦？
4001060050010,真乃,今日は、お集まりいただき\nありがとうございます……っ,[pre-translate]今天，感谢大家前来参加……
4001060050011,一同,イルミネーションスターズです……！,[pre-translate]我们是Illumination Stars……！
0000000000000,プロデューサー,ステージが広くなって、客席の数が増えて,[pre-translate]舞台变得更大了，观众席的数量也增加了
0000000000000,プロデューサー,お互いの距離は、\n少しだけ、遠くなったのかもしれない,[pre-translate]彼此之间的距离，也许稍微有点远了吧
4001060050020,ファンレター,真乃ちゃん、灯織ちゃん、めぐるちゃん！,[pre-translate]真乃酱、灯織酱、梅葛酱！
4001060050030,ファンレター,この間のライブすごかったね、いままでで一番だった！,[pre-translate]上次的演唱会太棒了，是迄今为止最棒的一次！
4001060050040,ファンレター,前の方の席だったからみんなの顔がよく見えたよ,[pre-translate]因为位置靠前，所以能够看到大家的脸庞呢
4001060050050,ファンレター,私と友達のことも見えたかなあ！,[pre-translate]能够看到我和朋友的样子吗！
4001060050060,めぐる,『……だって！』,[pre-translate]……那个！
4001060050070,真乃,ほわぁ、来てくれてたんだ……っ,[pre-translate]哇，你来了啊……
4001060050080,灯織,『ふたりのこと、ステージから見えた？』,[pre-translate]「我们两个人的事情，从舞台上看得到吗？」
4001060050090,めぐる,『わたしは見つけられなかったな……』,[pre-translate]「我没看到……」
4001060050100,灯織,『真乃は……』,[pre-translate]「真乃的话……」
4001060050110,真乃,私も……\n見なかった気がする……,[pre-translate]我也……好像没看到……
4001060050120,灯織,『そっか……』,[pre-translate]「是吗……」
4001060050130,めぐる,『でもでも、嬉しい……！』,[pre-translate]「但是但是，好开心啊……！」
4001060050140,めぐる,『届いてるといいな、わたしたちの歌！』,[pre-translate]「希望我们的歌曲能够传达到大家的心中！」
4001060050150,真乃,うん……っ,[pre-translate]嗯……
4001060050160,灯織,『そうだね』,[pre-translate]「是啊」
4001060050161,一同,ふふ……っ,[pre-translate]呵呵……
0000000000000,プロデューサー,はい、もしもし\n──……いつもお世話になっています！,[pre-translate]喂，你好\n──……一直以来都辛苦了！
0000000000000,プロデューサー,新規のご相談ですね、ありがとうございます……はい\nイルミネーションスターズ……はい,[pre-translate]这是新的咨询吗？谢谢你……好的\nIllumination Stars……好的
0000000000000,プロデューサー,……ええ、３人は変わらずですよ\n本当に仲が良くて……,[pre-translate]……嗯，三个人都没有变呢\n真的是非常要好的关系……
4001060050170,真乃,──輝きをみんなに届けよう,[pre-translate]──让闪耀之光传达给大家吧。
4001060050171,一同,イルミネーションスターズ……！,[pre-translate]Illumination Stars……！
0000000000000,流れ星の手紙,『この間のリリイベ、抽選当たりました！』,[pre-translate]『之前的LIVE抽到票了！』
0000000000000,流れ星の手紙,『今回も前の方の席でうれしかった！』\n『いっぱいライト振ったけど、見えた～！？』,[pre-translate]『这次也在前排，好开心！』\n『虽然挥了好多次荧光棒，有看到吗~？』
0000000000000,流れ星の手紙,『友達と帰りのカフェでたくさんお喋りしたよ～！』,[pre-translate]『和朋友一起去咖啡厅聊了好多~！』
0000000000000,流れ星の手紙,『話したいこといっぱいで止まらなくって……！』,[pre-translate]『想说的话太多了，一直说不停~！』
4001060050180,めぐる,ところで……,[pre-translate]话说……
4001060050190,めぐる,真乃どん、灯織どん！\nひとつ提案があります！,[pre-translate]真乃酱，灯织酱！\n我有个提议！
4001060050191,真乃＆灯織,…………っ,[pre-translate]…………咦
4001060050200,めぐる,そろそろお泊り会などどうでしょうか！,[pre-translate]要不要来个小住宿会之类的！
4001060050210,真乃,ほわぁ……\nうん……っ,[pre-translate]哇啊……\n嗯……
4001060050220,灯織,提案には賛成なんだけど、\nその『どん』、何……？,[pre-translate]虽然我赞成这个提议，\n但是那个『酱』是什么啊……？
4001060050230,めぐる,最近ハマってるチャンネルに出てくる登場人物……の\nもじり！,[pre-translate]最近迷上的一个频道里出现的角色……的\n戏仿！
4001060050240,めぐる,きつねどんとたぬきどんのおちゃらか珍道中\nって言うんだけどね──,[pre-translate]叫做『狐狸酱和松鼠酱的欢乐旅行』\n这样的名字──
0000000000000,プロデューサー,話をしているところごめんな\nそろそろ出る時間だけど大丈夫か？,[pre-translate]不好意思打扰你们谈话了\n虽然差不多该出发了，没问题吗？
4001060050241,一同,はいっ,[pre-translate]好的！
0000000000000,プロデューサー,よし！　じゃあ車を回してくるから、\n準備ができたら下りてきてくれ,[pre-translate]好的！那我去开车了，准备好了下来找我。
4001060050250,めぐる,えへへ、今日は３人一緒なの嬉しい！\nお仕事頑張ろう！,[pre-translate]嘿嘿，今天三个人一起真开心！加油工作吧！
4001060050260,真乃,うん、頑張ろう……っ,[pre-translate]嗯，加油……
4001060050270,真乃,……またあとで、きつねどんとたぬきどんのお話も、\n教えてほしいな……っ,[pre-translate]……之后可以再听听关于狐狸和狸的故事吗……
4001060050280,めぐる,聞いてくれる！？\nじゃあ移動中に！,[pre-translate]想听吗？那我们在移动的时候聊吧！
4001060050290,灯織,お泊り会の話もね\n予定のすり合わせしないと,[pre-translate]还有关于过夜派对的事情，我们需要商量一下。
4001060050300,めぐる,じゃあそれも移動中に……！,[pre-translate]那我们在移动的时候商量吧……！
4001060050310,灯織,移動中に全部詰め込まなくてもいいけど,[pre-translate]不过也不用在移动的时候全部商量完。
0000000000000,流れ星の手紙,『新曲ダウンロードしました！』,[pre-translate]『下载了新歌！』
0000000000000,流れ星の手紙,『最高！　とってもかわいい！』\n『私にとって大切な曲が増えました！』,[pre-translate]『太棒了！非常可爱！』『对我来说变得很重要了！』
0000000000000,流れ星の手紙,『カラオケで歌いたくて絶賛練習中です』,[pre-translate]『正在练习，想在卡拉OK上唱』
