id,name,text,trans
0000000000000,プロデューサー,灯織,[pre-translate]灯织
0000000000000,プロデューサー,炭酸とお茶、どっちがいい？,[pre-translate]汽水还是茶，哪个好？
4001060020010,灯織,えっ……ええと、お茶で……\nすみません、わざわざ,[pre-translate]啊……那就茶吧……\n不好意思，麻烦你了
0000000000000,プロデューサー,おう！,[pre-translate]好的！
0000000000000,プロデューサー,うーん、炭酸を選ぶかなと思ったんだけど\nはは、外したなあ,[pre-translate]嗯，我本来想选汽水的，\n哈哈，我猜错了呢
4001060020020,灯織,あっ……\nお茶のほうがよければ、どうぞ……！,[pre-translate]啊……如果你更喜欢茶的话，请随便……！
0000000000000,プロデューサー,えっ……あ、いやいや！\nそういう意味じゃないんだ、すまん,[pre-translate]啊……不，不是那个意思，\n我只是觉得练习后喝点清爽的东西比较好而已
0000000000000,プロデューサー,レッスンの後だからさ、しゅわっとしたものを\n飲みたかったりするかなと思っただけで,[pre-translate]因为练习后，我想喝点气泡饮料之类的\n但是，哈哈，我猜错了呢
4001060020030,灯織,なるほど……？,[pre-translate]原来如此……？
0000000000000,プロデューサー,頑張った後は、\nさっぱりしたものを飲みたくなるかな、みたいな……,[pre-translate]因为我认为，努力后想喝点清爽的东西，\n这是很正常的需求吧……
4001060020040,灯織,なるほど……,[pre-translate]原来如此……
0000000000000,プロデューサー,はは、すまんすまん\n変なことを言った,[pre-translate]哈哈，对不起对不起\n我说了些奇怪的话
0000000000000,プロデューサー,じゃ、今日も一日お疲れ様でしたの、乾杯！,[pre-translate]那么，今天也辛苦了，干杯！
4001060020050,灯織,は、はい,[pre-translate]好，干杯！
4001060020060,真乃,本日はありがとうございました……っ,[pre-translate]今天谢谢你了……
4001060020070,灯織,私たちのステージを、\n少しでも楽しんでもらえたならとても嬉しく思います,"[pre-translate]如果大家能够在我们的舞台上，
稍微享受一下的话，我会非常高兴。"
4001060020080,めぐる,みんなと一緒の時間を過ごせて\nすっごく楽しかったよー！,"[pre-translate]能够和大家一起度过的时间，
真的非常开心！"
4001060020090,めぐる,後ろのほうまでみーんな見えてるからねー！,[pre-translate]因为我们能够看到每一个人呢！
4001060020100,灯織,……そうなんです,[pre-translate]……没错
4001060020110,灯織,見えるんです\n思っていたより、ずっと,"[pre-translate]我能够看到
比我想象中更多的东西"
0000000000000,プロデューサー,……うん,[pre-translate]……嗯
4001060020120,灯織,あの時見上げていたステージは、私にはとても遠くて,[pre-translate]那时候，我仰望的舞台，对我来说非常遥远，
4001060020130,灯織,観客のひとりでしかない私なんて、\n紛れてしまうものだと思っていました,[pre-translate]我认为自己只是一个混在人群中的观众。
4001060020140,灯織,でも、ステージに立つと違うんです\n客席がとても近いんです,"[pre-translate]但是，当我站在舞台上时，情况就不同了。
观众席非常近。"
4001060020150,灯織,楽しんでくれてそうだな、とか\n少し退屈なのかもしれないな、とか,"[pre-translate]我能够想象他们是否在享受，
或者是否有点无聊。"
4001060020160,灯織,そういう想像ができるくらい,[pre-translate]我能够想象得很清楚。
4001060020170,灯織,近いんです,[pre-translate]因为他们离我非常近。
0000000000000,プロデューサー,たしか、それから灯織は少し黙って\n窓の外を見ていたように思う,"[pre-translate]然后灯织稍微沉默了一下，
好像看向了窗外。"
0000000000000,プロデューサー,めぐる\nちょっといいかな,"[pre-translate]梅古露，
可以过来一下吗？"
4001060020180,めぐる,なになに？　どうしたの？,[pre-translate]怎么了？发生了什么事吗？
0000000000000,プロデューサー,イルミネ宛のファンレター\nまとまったんだけど、読むか？,"[pre-translate]这是给Illumi的粉丝信，我整理好了，要看吗？
"
4001060020190,めぐる,え、もう！？,"[pre-translate]诶，已经整理好了吗！？
"
0000000000000,プロデューサー,ああ、今じゃなくてもいいんだけど……,"[pre-translate]啊，现在不看也可以……
"
4001060020200,めぐる,今！　今がいい！\n今読みたい！,"[pre-translate]现在！现在看！
我现在就想看！
"
4001060020210,めぐる,えへへ……,"[pre-translate]嘿嘿……
"
4001060020220,めぐる,次はもう少し先だと思ってたんだー\n先週もらったばっかりだったでしょ？,"[pre-translate]我还以为下次还要再等一段时间呢
上周不是刚收到吗？
"
0000000000000,プロデューサー,ああ、届くペースが上がってる\n応援してくれる人が増えている証拠だろうな,"[pre-translate]啊，收信的速度加快了
这是支持我们的人越来越多的证明吧
"
4001060020230,めぐる,わぁ……！,"[pre-translate]哇……！
"
4001060020240,めぐる,…………,"[pre-translate]…………
"
4001060020250,めぐる,新しくお手紙くれる人も\n何度もお手紙くれる人も嬉しいなぁ……！,"[pre-translate]无论是给我新的信件的人
还是给我写了好几封信的人
我都很开心……！
"
0000000000000,プロデューサー,封筒を見ただけでわかるのか？,"[pre-translate]你能看出信封上的差别吗？
"
4001060020260,めぐる,わかるよー！,"[pre-translate]能看出来啦！
"
4001060020270,めぐる,この人はね、いつも封筒に『真乃　灯織　めぐる』って\n３人の名前書いてくれるの！,"[pre-translate]这个人呢，总是在信封上写着『真乃 灯織 Meguru』
三个人的名字！
"
4001060020280,めぐる,こっちの人は、いつも金ラメのペンで書いてくれてる！,"[pre-translate]那个人呢，总是用金色闪光笔写的！
"
0000000000000,プロデューサー,……お、おかしいな！\n俺も目を通しているはずなのに……！,"[pre-translate]……奇怪了！
明明我也看过的啊……！
"
0000000000000,プロデューサー,さすがだなあ、めぐる,[pre-translate]不愧是你啊，Meguru。
4001060020290,めぐる,えへへ\nまだあるよ……！,"[pre-translate]嘿嘿嘿，还有呢……！
还有啊，这个孩子总是帮我画三颗流星。"
4001060020300,めぐる,この子はいつも３つの流れ星を描いてくれるんだ,[pre-translate]这个孩子总是帮我画三颗流星。
0000000000000,プロデューサー,へえ……,[pre-translate]哦……
0000000000000,プロデューサー,この子、ということは、\nめぐると年齢が近い子だったりするのか？,"[pre-translate]这个孩子，也就是说，
和Meguru年龄相近的孩子吧？"
4001060020310,めぐる,正解！\nさすがプロデューサー！,"[pre-translate]正确！
真不愧是制作人！"
4001060020320,めぐる,中学生でね、いつも友達と一緒に来てくれるんだ\nプロデューサーも知ってるんじゃないかなぁ？,"[pre-translate]她是中学生，总是和朋友一起来。
制作人也认识她吧？"
4001060020330,めぐる,この間のミニライブとか握手会にも来てくれてたよ！,"[pre-translate]上次的迷你演唱会和握手会，
她也来了哦！"
0000000000000,プロデューサー,あ、ああ……！\nもしかしてポニーテールの二人組？,"[pre-translate]啊，啊啊……！
难道是那个马尾辫的二人组？"
4001060020340,めぐる,そうそう、その子たち！,[pre-translate]对对对，就是那两个孩子！
0000000000000,プロデューサー,会場で見かけるその子たちは、\nいつも本当に仲が良さそうで……,"[pre-translate]在会场看到那两个孩子，
总是感觉她们的关系非常好……"
0000000000000,プロデューサー,イルミネの３人もいつかは彼女たちみたいに\n唯一無二の絆で結ばれるといいな……なんて,"[pre-translate]希望Illumination的三个人，
也能像她们一样，用独一无二的羁绊联系在一起……"
0000000000000,プロデューサー,そんなことを思っていた,"[pre-translate]我一边这样想着，
一边继续翻阅信件。"
0000000000000,プロデューサー,そうしてしばらく、\n手紙を捲るやさしい音が響いていたんだよな,[pre-translate]接着，柔和的翻页声响起。
4001060020350,真乃,──輝きをみんなに届けよう,[pre-translate]──让光芒照耀所有人吧。
4001060020351,一同,イルミネーションスターズ……！,[pre-translate]Illumination Stars……！
4001060020360,真乃,……みなさん、こんにちは\nはじめましての人も多いでしょうか……っ,[pre-translate]……大家好，初次见面的人也许很多吧……
4001060020370,灯織,私たちはイルミネーションスターズと言います\n名前だけでも覚えていただけたら嬉しいです,[pre-translate]我们是Illumination Stars\n如果能记住我们的名字就好了
4001060020380,めぐる,今日はみんなをいっぱい笑顔にするから！\n一緒に、全力で楽しもうねー！,[pre-translate]今天一定会让大家笑容满面！\n一起全力享受吧！
0000000000000,スタッフ,──プロデューサーさん！,[pre-translate]──制作人！
0000000000000,スタッフ,会場、満席です\nパイプ椅子でよければ増やせるんですが……,[pre-translate]场馆已经满座了\n如果可以坐管道椅子的话还可以增加座位……
0000000000000,プロデューサー,ありがとうございます！\nぜひ、お願いします……！,[pre-translate]谢谢！\n拜托了……！
0000000000000,プロデューサー,…………,[pre-translate]…………
0000000000000,プロデューサー,真乃も、灯織も、めぐるも、\n客席に向かって大きく手を振っていた,[pre-translate]真乃、灯織、めぐる\n向观众席挥手致意
0000000000000,プロデューサー,ステージと客席は、遠いようで近いから,[pre-translate]舞台和观众席，虽然看起来很远，但其实很近
0000000000000,プロデューサー,その手で触れようとするかのように、\n大きく大きく手を振っていた,[pre-translate]就像要伸手就能够触摸到一样，\n大力地挥动着手臂。
0000000000000,off,え、オーディオプレイヤー！？,[pre-translate]啊，音频播放器！？
0000000000000,off,……しー、静かに！,[pre-translate]……嘘，安静！
0000000000000,off,先生にバレたらやばい\n没収される,[pre-translate]要是被老师发现就糟了\n会被没收的。
0000000000000,off,あー、ごめん,[pre-translate]啊，对不起。
0000000000000,off,でも名案\nこれならスマホより見つかりにくいかも,[pre-translate]但是这个方案不错，这样可能比手机更难找到
0000000000000,off,ふふっ\n新曲、早く一緒に聞きたかったからさ,[pre-translate]嘿嘿，因为我想早点和你一起听新歌啊
0000000000000,off,これ、右？　左？,[pre-translate]这个是右边的吧？还是左边的？
0000000000000,off,RかLか、書いてあるでしょ\n私のがLだから,[pre-translate]R还是L，上面写着呢，我的是L
0000000000000,off,Rか、Rは……,[pre-translate]R是……
0000000000000,off,RIGHT、右,[pre-translate]RIGHT，右边
0000000000000,off,あは、わかってるって,[pre-translate]啊哈，你懂的
0000000000000,off,……あー,[pre-translate]……啊
0000000000000,off,いいね……,[pre-translate]真好啊……
0000000000000,off,うん、やっぱ新曲も最高……,[pre-translate]嗯，新歌果然最棒了……
0000000000000,off,──うちの家さ、\nいつもお母さんが好きな曲かけてるんだけど,[pre-translate]──我家里啊，\n妈妈总是放她喜欢的歌，但是
0000000000000,off,10年も前の懐メロばっかり！\n信じられる？,[pre-translate]都是10年前的怀旧歌曲！\n你能相信吗？
0000000000000,off,まあ、親ってそうじゃん\n古い曲しか聞かない,[pre-translate]嗯，父母就是这样啦\n只听老歌
0000000000000,off,そうだけどさ\nわざわざ古い曲を聞く意味わかんないし──……,[pre-translate]虽然是这样，但是啊\n我就是不明白为什么要特意听老歌──……
0000000000000,off,や、ちょっと話すより聞こ？\nサビだよ、サビ,[pre-translate]嘿，比起说这些不如听歌吧？\n这是副歌，副歌
0000000000000,off,ごめん,[pre-translate]对不起。
0000000000000,off,あー……,[pre-translate]啊……
0000000000000,off,うん,[pre-translate]嗯。
0000000000000,off,やばい、サビも最高……,[pre-translate]太棒了，连副歌也很好听……
0000000000000,off,ふふっ……,[pre-translate]嘿嘿……
info,game_event_communications/400106002.json,,
译者,,,
