id,name,text,trans
0000000000000,司会者,──さて、月岡さん！\n来てくださってありがとうございます！,
2004015010010,恋鐘,こちらこそ、呼んでもらって嬉しかよ～！\nよろしくお願いするけん！,
0000000000000,司会者,はい！,
0000000000000,司会者,え～～～！　今日は占い師の──\n柴犬概念さんに占っていただくわけですが～～～！,
0000000000000,司会者,月岡さんは、占いとかお好きですか～？,
2004015010020,恋鐘,そうやね～\nあんまり詳しくはなかばってん……,
2004015010030,恋鐘,朝、部屋で支度ばしとる時、\nTVで占いコーナーが始まったりすると～,
2004015010040,恋鐘,うちの星座が出るまで見たりはしてしまうばい\nつい気になって～……,
0000000000000,司会者,ふむふむ……,
0000000000000,司会者,でしたら、占い師の方に運勢を見てもらうのは\n今回が初めてって感じですかね～？,
2004015010050,恋鐘,うん～！\nやけん、ばり楽しみにしとったとよ～,
2004015010060,恋鐘,どがんこと言われるんやろ～って！,
0000000000000,司会者,そうでしたか……\nいい結果になるといいですね！,
2004015010070,恋鐘,ありがとう～\nそいにしても、ば～りすごか名前ばいね～？,
2004015010080,恋鐘,やっぱり柴犬占いとかするんやろか？\nそいも楽しみにしてきたとよ！,
0000000000000,司会者,どうでしょう……？,
0000000000000,司会者,それでは登場していただきましょうか……！,
0000000000000,柴犬概念,こんにちは～！\n柴犬概念です！！,
0000000000000,司会者,こんにちは柴犬さん……！\n今日はよろしくお願いします,
2004015010090,恋鐘,よろしくお願いするばい～！,
2004015010100,恋鐘,柴犬はおらんと……？,
0000000000000,柴犬概念,はい、概念ですから……,
0000000000000,柴犬概念,さて、さっそくですが月岡さん！\nあなたの名前、……よくありません！！,
2004015010110,恋鐘,…………ふぇ？,
0000000000000,柴犬概念,仕事運はほどほど、恋愛運はからっきし\n……身に覚えはありませんか？,
2004015010120,恋鐘,…………そ、そいは……,
2004015010130,恋鐘,…………,
2004015010140,恋鐘,うち、仕事運はよかと思っとるんやけど……\n仲間にもスタッフのみんなにも、恵まれとるし……,
0000000000000,柴犬概念,ふむ……謙虚な方ですな……,
0000000000000,柴犬概念,だからこそいけません……\n今、あなたは現状に満足してしまっている,
0000000000000,柴犬概念,ぬるま湯につかっていては、変わることはできませんよ……,
2004015010150,恋鐘,え……,
0000000000000,柴犬概念,あなたに必要なのは荒療治\nそう……改名です！,
2004015010160,恋鐘,改名,
0000000000000,柴犬概念,そう……,
0000000000000,柴犬概念,柴犬のお告げによると、あなたの名前は……,
0000000000000,柴犬概念,おうごんと書いてこがねと読む──\n『黄金』とすると良いようです,
0000000000000,柴犬概念,読みはそのまま、漢字を変えるのです,
2004015010170,恋鐘,『黄金』……\nこがねはこがねやけど……,
2004015010180,恋鐘,プロデューサーやアンティーカのみんな……\nうちの両親とも、相談せんと～～……,
0000000000000,柴犬概念,はい、ぜひ…………,
0000000000000,柴犬概念,しかし『黄金』にすればたちどころに──\n運勢上向き間違いなし、嬉しい変化が訪れるでしょう……,
2004015010190,恋鐘,…………,
0000000000000,プロデューサー,いやあ、キャラの濃い占い師だったな……,
2004015010200,恋鐘,名前のすごか人やったけど、それだけやなか……\nうち、圧倒されてしもうた……,
2004015010210,恋鐘,やっぱり、改名にはパワーのあるとかな？,
0000000000000,プロデューサー,恋鐘……,
select,,黄金も\n悪くないんじゃないか,
select,,恋鐘のままがいい,
select,,俺が名前を考えようか,
0000000000000,プロデューサー,月で黄金だろ？\n字面も綺麗な気がするんだ,
2004015010220,恋鐘,そうやね、悪くなかとは思うんやけど……,
2004015010230,恋鐘,うち、今の名前ばり気に入っとるし…………,
2004015010240,恋鐘,それにいっぱい考えてくれたお父ちゃんたちにも\n申し訳なか気のするばい～！,
0000000000000,プロデューサー,はは、そうだよな\nじゃあやっぱり、恋鐘は恋鐘だ,
2004015010250,恋鐘,プロデューサー！　最初からそういうつもりやったと？\n……そがん手、反則ばい～！,
2004015010260,恋鐘,んふふ……\nやっぱりそうやね……！,
0000000000000,プロデューサー,恋鐘が改名となると……\nいろんなところに影響が出るしな？,
2004015010270,恋鐘,ふぇ……そっち～？,
0000000000000,プロデューサー,はは……\nもちろん、それだけじゃないけどな？,
2004015010280,恋鐘,え……\nプロデューサーが……？,
2004015010290,恋鐘,うう……お父ちゃんたちには悪かけど、\nどがん名前つけてくれるんか、知りたか……,
0000000000000,プロデューサー,…………,
0000000000000,プロデューサー,いや、やっぱり……\nご両親を越える名前をつけるのは難しそうだ,
0000000000000,プロデューサー,それに、恋鐘は恋鐘だもんな,
2004015010300,恋鐘,う、うん……,
info,produce_events/200401501.json,,
译者,,,
